sensor_id,temperature,timestamp
SENSOR_3,91.92,2026-05-04T17:50:13.704336
SENSOR_2,31.15,2026-05-04T17:50:43.704336
SENSOR_8,78.84,2026-05-04T17:51:13.704336
SENSOR_9,73.15,2026-05-04T17:51:43.704336
SENSOR_9,82.89,2026-05-04T17:52:13.704336
SENSOR_10,96.36,2026-05-04T17:52:43.704336
SENSOR_7,47.79,2026-05-04T17:53:13.704336
SENSOR_5,59.47,2026-05-04T17:53:43.704336
SENSOR_4,35.49,2026-05-04T17:54:13.704336
SENSOR_4,34.78,2026-05-04T17:54:43.704336
SENSOR_8,28.46,2026-05-04T17:55:13.704336
SENSOR_7,75.79,2026-05-04T17:55:43.704336
SENSOR_4,38.94,2026-05-04T17:56:13.704336
SENSOR_1,93.21,2026-05-04T17:56:43.704336
SENSOR_8,22.14,2026-05-04T17:57:13.704336
SENSOR_7,25.26,2026-05-04T17:57:43.704336
SENSOR_2,92.28,2026-05-04T17:58:13.704336
SENSOR_1,94.92,2026-05-04T17:58:43.704336
SENSOR_10,42.49,2026-05-04T17:59:13.704336
SENSOR_10,59.88,2026-05-04T17:59:43.704336
SENSOR_2,24.37,2026-05-04T18:00:13.704336
SENSOR_9,86.16,2026-05-04T18:00:43.704336
SENSOR_2,83.5,2026-05-04T18:01:13.704336
SENSOR_3,60.63,2026-05-04T18:01:43.704336
SENSOR_3,96.49,2026-05-04T18:02:13.704336
SENSOR_4,53.07,2026-05-04T18:02:43.704336
SENSOR_4,66.52,2026-05-04T18:03:13.704336
SENSOR_1,99.09,2026-05-04T18:03:43.704336
SENSOR_2,41.47,2026-05-04T18:04:13.704336
SENSOR_1,41.9,2026-05-04T18:04:43.704336
SENSOR_2,75.51,2026-05-04T18:05:13.704336
SENSOR_8,59.14,2026-05-04T18:05:43.704336
SENSOR_9,20.76,2026-05-04T18:06:13.704336
SENSOR_8,74.26,2026-05-04T18:06:43.704336
SENSOR_5,92.22,2026-05-04T18:07:13.704336
SENSOR_1,86.2,2026-05-04T18:07:43.704336
SENSOR_10,82.11,2026-05-04T18:08:13.704336
SENSOR_2,88.38,2026-05-04T18:08:43.704336
SENSOR_6,43.51,2026-05-04T18:09:13.704336
SENSOR_9,72.4,2026-05-04T18:09:43.704336
SENSOR_2,65.99,2026-05-04T18:10:13.704336
SENSOR_1,90.81,2026-05-04T18:10:43.704336
SENSOR_4,58.88,2026-05-04T18:11:13.704336
SENSOR_9,94.77,2026-05-04T18:11:43.704336
SENSOR_6,93.6,2026-05-04T18:12:13.704336
SENSOR_5,55.52,2026-05-04T18:12:43.704336
SENSOR_3,28.52,2026-05-04T18:13:13.704336
SENSOR_1,78.62,2026-05-04T18:13:43.704336
SENSOR_5,62.24,2026-05-04T18:14:13.704336
SENSOR_7,31.8,2026-05-04T18:14:43.704336
